drop_audio
grasp_audio
hold_audio
lift_audio
poke_audio
press_audio
push_audio
revolve_audio
shake_audio
squeeze_audio
drop_haptics
grasp_haptics
hold_haptics
lift_haptics
poke_haptics
press_haptics
push_haptics
revolve_haptics
shake_haptics
squeeze_haptics
grasp_size
look_shape
look_color
