uid,understand,prod_yn,prod_ex,long,slow,qs,fun,use
0,1,2,3,3,1,1,2,3
1,3,3,4,3,2,1,2,3
2,2,3,3,2,3,1,2,1
3,4,4,4,0,0,1,4,2
4,1,2,2,3,3,1,4,1
5,2,3,4,3,4,1,3,2
6,1,3,3,1,3,1,3,1
7,2,3,3,2,2,1,3,1
8,3,3,3,3,2,2,2,2
9,3,3,3,4,4,1,2,2
10,2,4,3,3,4,1,2,0
11,2,3,2,4,3,3,2,1
12,3,1,3,2,2,2,3,1
