silver_cappuccino_maker_1,0.683051,0.00169492,0,0,0,0.00169492,0,0,0,0,0,0,0,0,0,0,0.0220339,0,0,0,0.0847458,0.128814,0,0,0.00169492,0.00169492,0.00169492,0,0,0,0,0,0,0,0,0,0.00169492,0.00338983,0.00169492,0,0,0,0.0169492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00677966,0,0,0,0.00338983,0.0389831
silver_cappuccino_maker_4,0.576241,0,0.00177305,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120567,0.0035461,0,0,0.10461,0.141844,0.00177305,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177305,0.0035461,0,0,0,0.0106383,0.0195035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035461,0,0,0.00177305,0.0035461,0.00531915
silver_cappuccino_maker_3,0.658163,0.00170068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0952381,0.00510204,0,0,0.107143,0.0901361,0.00170068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136054,0,0,0,0.00170068,0.0153061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00170068,0,0,0,0,0.0085034
silver_cappuccino_maker_2,0.523732,0,0.00163666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180033,0.00163666,0,0,0.119476,0.104746,0,0,0,0,0.00163666,0,0,0,0,0,0,0,0,0,0.00163666,0.00981997,0,0,0,0.0114566,0.0196399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00163666,0.00163666,0,0,0,0.00654664,0.01473
silver_cappuccino_maker_5,0.551903,0.00519031,0,0,0,0.00519031,0,0,0,0,0,0,0,0,0,0,0.140138,0.00346021,0,0,0.141869,0.107266,0.00346021,0,0,0,0.00346021,0,0,0,0,0,0,0,0,0,0,0.00692042,0,0,0,0,0.0017301,0.0017301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017301,0.0017301,0,0,0.0017301,0.0224913
silver_cappuccino_maker_6,0.57022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174281,0.00338409,0,0,0.106599,0.120135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00169205,0.00676819,0.00338409,0,0,0.00169205,0.00338409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00169205,0.00169205,0,0,0,0.00507614
christmas_red_container_2,0.00133156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126498,0.00199734,0,0,0.00532623,0.0146471,0.000665779,0,0.000665779,0.0213049,0,0,0,0,0,0,0.129827,0.0332889,0,0,0.0432756,0.117177,0.00665779,0,0.00399467,0.111185,0.011984,0.00133156,0,0,0.000665779,0,0.051265,0.105193,0,0,0.0366178,0.103196,0.00266312,0,0.00665779,0.0252996,0.0366178,0.00532623,0,0.00133156,0.0166445,0.0912117
christmas_red_container_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142303,0.00194049,0,0,0.00388098,0.0103493,0,0,0.00194049,0.0213454,0.000646831,0,0,0,0,0,0.131307,0.0258732,0,0,0.0407503,0.106727,0.00776197,0,0.0116429,0.113842,0.0219922,0,0,0.000646831,0.000646831,0.000646831,0.0614489,0.0970246,0,0,0.0297542,0.104787,0.00194049,0,0.0084088,0.0168176,0.0388098,0.0122898,0,0.000646831,0.0103493,0.101552
christmas_red_container_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115962,0.00204638,0,0,0.00272851,0.00750341,0,0,0,0.0197817,0,0,0,0,0,0,0.0995907,0.0177353,0.00204638,0,0.047749,0.106412,0.00272851,0,0.0170532,0.112551,0.0231924,0.000682128,0,0,0,0,0.0736698,0.0900409,0,0,0.0259209,0.120737,0.00272851,0,0.0047749,0.0272851,0.0361528,0.00409277,0.000682128,0.00136426,0.0156889,0.123465
christmas_red_container_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107527,0.00189753,0,0,0.00442758,0.00885515,0,0,0.00189753,0.0240354,0.000632511,0,0,0,0,0,0.149905,0.0234029,0,0,0.0430108,0.114485,0.00442758,0.000632511,0.0107527,0.113219,0.0151803,0,0,0.000632511,0,0,0.0449083,0.0980392,0,0,0.0398482,0.102467,0.00379507,0,0.00695762,0.0208729,0.0354206,0.00506009,0,0.00379507,0.0183428,0.0923466
