Pink_crayon_bank_4,18,18,18,18,679,683,2972,2972,5207,5149,5940,5664,5934,5664,5934,5664,5934,5664,5934,5664
Pink_crayon_bank_5,12,18,12,18,699,705,3009,3014,5237,5167,5928,5634,5922,5634,5922,5634,5922,5634,5922,5634
big_open_metal_jar_1,12,12,12,12,420,424,2590,2594,4912,4898,5922,5700,5922,5700,5922,5700,5922,5700,5922,5700
big_open_metal_jar_2,12,18,12,18,594,600,2867,2873,5143,5092,5928,5652,5922,5652,5922,5652,5922,5652,5922,5652
big_open_metal_jar_3,18,18,18,18,39.6,38.4,1197.6,1197.6,3204,3202.8,5101.2,5062.8,5923.2,5662.8,5934,5664,5934,5664,5934,5664
big_open_metal_jar_4,18,18,18,18,514,518,2746,2732,5043,4987,5935,5686,5934,5688,5934,5688,5934,5688,5934,5688
big_open_metal_jar_5,12,18,12.8571,18.8571,1373.14,1380.86,4153.71,4153.71,5864.57,5645.14,5934,5676,5929.71,5676,5928,5676,5928,5676,5928,5676
red_folders_coffee_jar_1,12,12,12,12,526,526,2765,2766,4816,4727,5614,5028,5712,5028,5712,5028,5712,5028,5712,5028
red_folders_coffee_jar_2,18,18,18,18,556,559,2812,2811,4834,4740,5607,5058,5676,5058,5676,5058,5676,5058,5676,5058
red_folders_coffee_jar_3,317.684,324,4777.26,4486.42,5766,5076,5766,5076,5766,5076,5766,5076,5766,5076,5766,5076,5766,5076,5766,5076
red_folders_coffee_jar_4,12,18,12,18,721,726,3020,3027,5043,4933,5764,5207,5886,5202,5886,5202,5886,5202,5886,5202
red_folders_coffee_jar_5,12,18,12,18,539,543,2796,2801,4916,4817,5706,5160,5838,5160,5838,5160,5838,5160,5838,5160
campbells_noodle_soup_1,138.706,135.176,4356.71,4347.88,5988,5988,5988,5988,5988,5988,5988,5988,5988,5988,5988,5988,5988,5988,5988,5988
campbells_noodle_soup_2,122.471,128.118,4308.71,4308.35,5994,5988,5994,5988,5994,5988,5994,5988,5994,5988,5994,5988,5994,5988,5994,5988
campbells_noodle_soup_3,138,144,4358.47,4361.29,5994,5988,5994,5988,5994,5988,5994,5988,5994,5988,5994,5988,5994,5988,5994,5988
